assumption_id,type,status
ASSUMP-HURWITZ-GOLDEN,PHYSICS_DICTIONARY,EXPLICIT
ASSUMP-RG-SMOOTH-INTERP,QFT_RG_BRIDGE,EXPLICIT
ASSUMP-LORENTZ-MACRO,MACRO_LIMIT,EXPLICIT
ASSUMP-SMOOTH-COVARIANCE,SMOOTH_LIMIT,EXPLICIT
ASSUMP-SMOOTH-HEATTRACE,SMOOTH_LIMIT,EXPLICIT
ASSUMP-HST-EXTERNAL,PHYSICS_DICTIONARY,EXPLICIT
ASSUMP-COMPACT-LIE-KILLING-NEGATIVE,CARTAN_COMPACTNESS_CRITERION,EXPLICIT
ASSUMP-JONES-INDEX,SUBFACTOR_INDEX_QUANTIZATION,EXPLICIT
ASSUMP-MORDELL-E8,LATTICE_GENUS_THEOREM,EXPLICIT
ASSUMP-CONNES-RECONSTRUCTION,NONCOMMUTATIVE_GEOMETRY_THEOREM,EXPLICIT
ASSUMP-TOMITA-TAKESAKI,VON_NEUMANN_MODULAR_THEOREM,EXPLICIT
ASSUMP-COMPLEX-QM,QM_FOUNDATIONS_THEOREM,EXPLICIT
ASSUMP-M1-INFO-RECONSTRUCTION,QM_RECONSTRUCTION_THEOREM,EXPLICIT
ASSUMP-VERLINDE-ENTROPIC,EMERGENT_GRAVITY_PROGRAM,EXPLICIT
ASSUMP-FROBENIUS-1877,DIVISION_ALGEBRA_CLASSIFICATION,EXPLICIT
ASSUMP-WILSON-LATTICE-1974,LATTICE_GAUGE_RIGOR,EXPLICIT
ASSUMP-DIXMIER-TRACE,NONCOMMUTATIVE_INTEGRAL_THEOREM,EXPLICIT
ASSUMP-RIEFFEL-GHP,QUANTUM_METRIC_CONVERGENCE,EXPLICIT
ASSUMP-ADLER-WEISS,SYMBOLIC_DYNAMICS_CLASSIFICATION,EXPLICIT
ASSUMP-HODGE-ALGEBRAIC-FORCING,D0_INTERNAL_FORCING_TARGET,EXPLICIT
ASSUMP-PACKAGING-REFLECTION-SYMMETRY,SPECTRAL_PACKAGING_SYMMETRY,EXPLICIT
ASSUMP-GLOBAL-LYAPUNOV-POTENTIAL,COMPLEXITY_NAVIGATION_POTENTIAL,EXPLICIT
ASSUMP-LINDEMANN-LNPHI,TRANSCENDENCE_THEOREM_LINDEMANN_WEIERSTRASS,EXPLICIT
ASSUMP-PRL-RQM-GENERAL,QM_RECONSTRUCTION_THEOREM,EXPLICIT
ASSUMP-NO-EXOTIC-FERMIONS,DIVISION_ALGEBRA_CLASSIFICATION,EXPLICIT
ASSUMP-LEPTON-EFT-DECIMALS,QFT_RG_BRIDGE,EXPLICIT
