claim_id,layer,status,lean_module,certificate,book_section,depends_on,exact_finite_object,exact_missing_artifact,is_global_blocker
D0-TORAL-INTEGRAL-CONJUGACY-OWNER-001,A,CERT-CLOSED,D0.Geometry.ToralIntegralConjugacy,vp_toral_integral_conjugacy.py,BOOK_01,,C T C^-1 = -M_phi (C unimodular),,False
D0-TORAL-LUCAS-PERIODIC-SEED-OWNER-001,A,CERT-CLOSED,D0.Geometry.ToralLucasPeriodicSeed,vp_toral_lucas_periodic_seed.py,BOOK_01,D0-TORAL-INTEGRAL-CONJUGACY-OWNER-001,"#Fix_n=|det(T^n-I)|=1,1,4,5,11; primitive 3-orbit",,False
D0-TORAL-CANONICAL-MARKOV-PARTITION-NOGO-001,B/C,NO-GO,D0.Geometry.ToralCanonicalMarkovNoGo,vp_toral_canonical_markov_partition_nogo.py,BOOK_06,D0-TORAL-LUCAS-PERIODIC-SEED-OWNER-001,-M_phi negative entry != M_phi; 3-point seed,,False
D0-WILLIAMS-SHIFT-EQUIVALENCE-OWNER-001,frozen,CERT-CLOSED,D0.Dynamics.ToralShiftEquivalence,vp_toral_shift_equivalence.py,BOOK_06,,"GL(2,Z) similarity (-T)~M + SE invariants",,False
D0-ADLER-WEISS-PARTITION-OWNER-001,frozen,BRIDGE-ASSUMPTIONS-EXPLICIT,D0.Bridge.AdlerWeissBridge,,BOOK_06,,external Adler-Weiss Markov partition,,False
D0-TORAL-LUCAS-VORONOI-PARTITION-OWNER-001,B,PROOF-TARGET,,,BOOK_06,D0-TORAL-LUCAS-PERIODIC-SEED-OWNER-001,seed stable/unstable separations,a canonical seed-determined partition whose cells are Markov rectangles; the 3-point seed does not canonically fix rectangle boundaries (Adler-Weiss non-unique),True
D0-TORAL-MARKOV-RECTANGLE-OWNER-001,C,PROOF-TARGET,,,BOOK_06,D0-TORAL-CANONICAL-MARKOV-PARTITION-NOGO-001,adjacency A_LV from constructed rectangles,a canonical Markov partition (blocked by the no-go); without it no scene-determined nonnegative adjacency matrix is computed,True
D0-TORAL-SYMBOLIC-CODING-OWNER-001,D,PROOF-TARGET,,,BOOK_06,D0-TORAL-MARKOV-RECTANGLE-OWNER-001,edge shift + coding map pi,needs the Markov partition; then pi is a semiconjugacy (not a conjugacy until the boundary quotient),True
D0-TORAL-BOUNDARY-QUOTIENT-CONJUGACY-001,E,PROOF-TARGET,,,BOOK_06,D0-TORAL-SYMBOLIC-CODING-OWNER-001,boundary equivalence quotient Sigma_A/~,needs the coding; then pi_bar homeomorphism conjugates the quotient shift with f_T,True
D0-TORAL-WILLIAMS-SSE-OWNER-001,F,PROOF-TARGET,,,BOOK_06,D0-TORAL-CANONICAL-MARKOV-PARTITION-NOGO-001,elementary SSE chain A_LV ~ ... ~ M_phi,"an explicit nonnegative-integer elementary SSE chain from the (blocked) canonical adjacency A_LV to M_phi; the integral conjugacy gives -M_phi (negative), NOT the symbolic SSE; ordinary SE is insufficient",True
D0-TORAL-TIME-MARKOV-CONJUGACY-001,F,PROOF-TARGET,,,BOOK_06,D0-TORAL-BOUNDARY-QUOTIENT-CONJUGACY-001,full topological conjugacy of the toral SFT,the boundary-quotient conjugacy + the SSE chain (both blocked above); external Adler-Weiss stays the cited owner,True
D0-TORAL-LUCAS-MARKOV-CLOSURE-001,umbrella,NO-GO,D0-TORAL-CANONICAL-MARKOV-PARTITION-NOGO-001 (decision),vp_toral_canonical_markov_partition_nogo.py,BOOK_06,D0-TORAL-CANONICAL-MARKOV-PARTITION-NOGO-001,campaign A-vs-B-vs-C-vs-D decision,,False
