lane,owner(s),terminal_state,frozen_input,allowed_next_move,forbidden_route,minimum_new_primitive,external_passport,exit_condition
A scene-native Xi/Dirac,D0-VNEXT2-SCENE-NATIVE-MAXIMALITY-OWNER-001 / -REFINEMENT-NOGO-001 / -XI-MAXIMALITY-NOGO-001 / -DIRAC-COVARIANCE-MAXIMALITY-NOGO-001,NO-GO,"K(9,11,13) history/readout",supply one refinement rule,manual AF->scene Xi; manual Dirac scale; 34-1=33 quotient,PRIM-SCENE-HISTORY-REFINEMENT-RULE / PRIM-COMPARISON-MAP-XI-N / PRIM-DIRAC-SCALE-SELECTION,none,rule forced or stay no-go
B phason magnitude/redshift,D0-PHASON-MAGNITUDE-MAXIMALITY-NOGO-001 + D0-PHASON-CONTINUUM-ENVELOPE-OWNER-001 (CERT) + D0-PHASON-WDE-SIGN-NORMALIZATION-OWNER-001,NO-GO,phi-semigroup envelope + Galois sign,external physical map passport,CPL/DESI/FLRW; magnitude normalization by hand,PRIM-PHYSICAL-MAGNITUDE-MAP / PRIM-PHYSICAL-REDSHIFT-OBSERVABLE,DESI/CPL,"unique (M,Z) or stay no-go"
C CMB smoothing,D0-CMB-CANONICAL-SMOOTHING-MAXIMALITY-NOGO-001 + D0-CMB-NS-SMOOTHING-UNDETERMINED-NOGO-001 + D0-CMB-NS-LAPLACIAN-IDS-OWNER-001 (CERT),NO-GO,"spectrum {20,22,24,33}","forced (k,u) rule if any",chosen pivot/width; Planck target,PRIM-FORCED-SMOOTHING-WINDOW,Planck,forced functional or stay no-go
D lepton branch-fixing,D0-LEPTON-PUISEUX-UNIQUENESS-OBSTRUCTION-001 (NO-GO) + D0-LEPTON-FINITE-GREEN-RESOLVENT-OWNER-001 (CERT),NO-GO,"C4xR3 cover, ramification row",branch-fixing selector if any,PDG decimals; index=>coefficient; raw graph decimals,PRIM-LEPTON-BRANCH-FIXING-OPERATOR,EFT/IR,selector or stay no-go
E alpha analytic/residue,D0-ALPHA-PRESENT-CORE-MAXIMALITY-NOGO-001 + D0-ALPHA-PROFINITE-TOWER-NOGO-001 + D0-DELTA-ALPHA-SEAM-CLOSED-001 (CERT) + D0-ALPHA-MEASUREMENT-LIMIT-001 (EMPIRICAL-PASSPORT),NO-GO,alpha_top/alpha_alg/mu1/mu2 frozen,external Dixmier/Wodzicki passport,finite zeta pole; phi-ladder Dixmier criticality; measured alpha as norm,PRIM-PERRON-PHI3-CARRIER,Dixmier/Wodzicki,external passport or stay no-go
F finite->continuum,D0-SMOOTH-MANIFOLD-FORMALISM-PASSPORT-001 (PASSPORT) + D0-GHP-GOLDEN-CAUCHY-BOUND-001 (CERT) + D0-RIEFFEL-GHP-CONTINUUM-OWNER-001 + D0-CONNES-RECONSTRUCTION-OWNER-001,PASSPORT-CLOSED,finite metric tower,supply external Rieffel/Connes hypotheses,finite GHP proves smooth manifold; c_D0=1 proves SI c; continuum primitive,isometric Dirac J_N,Connes/propinquity,passport with explicit assumptions
G matter (baryon/Higgs/hypercharge),D0-HIGGS-CONDENSATION-PRESENT-CORE-MAXIMALITY-NOGO-001 + D0-HYPERCHARGE-ANOMALY-VARIETY-2DIM-001 (NO-GO) + D0-SM-HYPERCHARGE-ROW-OWNER-001 (CERT) + D0-HYPERCHARGE-FLOW-ORIGIN-PASSPORT-001 + D0-BARYON-ASYMMETRY-DELTA0-001 (CERT),NO-GO,"40/56 carriers, anomaly row, return quotient",noncommuting triple / finite rep / label transfer,period-44 Higgs orbit; raw graph -> Weyl row; 246 GeV; PDG masses,PRIM-NONCOMMUTING-TRIPLE / PRIM-FINITE-SPECTRAL-TRIPLE-REP / PRIM-BARYON-PHYSICAL-LABEL-TRANSFER,PDG (passport only),triple/rep/labels or stay no-go
H GW falsifiers,D0-ECHO-DELAY-COMPACTNESS-OWNER-001 (CERT) + D0-HORIZONLESS-ECHO-PASSPORT-001 + D0-HORIZON-HUM-TRANSFER-OBSERVABLE-OWNER-001 (CERT) + D0-HORIZON-HUM-EMPIRICAL-PASSPORT-001,EMPIRICAL-PASSPORT,"C_max=3/8 (echo), I_f=log phi (hum)",run pre-registered searches,event selects target; raw frequency hunt; LIGO/DESI confirmation,none,GW data,falsifier PASS/FAIL
I corpus integrity/publication,STATUS_INFLATION_AUDIT.csv + OPEN_CERTIFICATE_COMPLETION_BOARD.csv + ROSETTA_CLAIM_OWNER_MAP.csv,CERT-CLOSED,registry (single source of truth),maintain regression guards,status inflation; anonymous open target; passport->core,none,none,"0 contradictions, 0 anonymous, all certs boarded"
J research methods,TOTAL_RESEARCH_SOURCE_LEDGER.csv (method-only; no imported axiom),CERT-CLOSED,frozen D0 objects,extract methods only,import external theorem/datum/fit as CORE axiom,none,literature (method only),each source maps to one method + why-not-core
